Unnamed: 0,Unnamed: 1,Unnamed: 2,Question-Answer,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Single-Choice,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Count,Unnamed: 16,Unnamed: 17
,C,,2.755,3.91,3.96,5.81,7.19,4.03,8.325,7.35,7.425,8.6875,7.845,6.08,200,400,600
4b100,A,,3.788889,4.777778,4.244444,5.9,7.066667,4.866667,8.762279,7.638507,7.304519,8.905697,8.223969,6.683693517,90,509,600
,B,,3.627297,4.645669,4.013123,6.246719,7.115486,4.755906,9.032258,7.78341,7.728111,9.152074,8.138249,6.640552995,381,217,600
,C,,2.88,4.01,4.05,6.01,7.33,4.14,8.36272,7.357683,7.471033,8.670025,7.894207,6.080604534,200,397,600
8b00,A,,4.2,5.277778,4.4,6.744444,6.933333,5.111111,8.54902,6.943137,6.256863,8.256863,7.105882,6.262745098,90,510,600
,B,,3.698953,4.65445,3.887435,6.594241,6.675393,4.578534,8.479263,6.949309,6.308756,8.327189,7.101382,6.184331797,382,217,600
,C,,2.945,4.12,3.725,6.505,6.7,3.735,7.95,6.6925,6.2225,8.16,6.9775,5.92,200,400,600
8b10,A,,3.888889,5.033333,4.166667,6.088889,7.033333,4.944444,8.882353,7.635294,7.313725,8.960784,8.168627,6.621568627,90,510,600
,B,,3.565445,4.732984,4.007853,6.264398,7.060209,4.646597,8.75576,7.714286,7.658986,9.032258,8.050691,6.608294931,382,217,600
,C,,2.75,4.22,4.025,5.89,7.19,4.06,8.4,7.4625,7.555,8.73,7.9325,6.1925,200,400,600
8b30,A,,3.766667,4.922222,4.122222,6.044444,7.055556,4.811111,8.958743,7.777996,7.444008,9.088409,8.27112,6.803536346,90,509,600
,B,,3.518325,4.623037,3.960733,6.112565,7.018325,4.638743,8.940092,7.774194,7.723502,9.170507,8.156682,6.705069124,382,217,600
,C,,2.87,3.955,4.075,6.015,7.27,4.16,8.75,7.655,7.72,8.975,8.02,6.2925,200,400,600
8b60,A,,3.888889,4.944444,4.222222,6.244444,7.177778,4.933333,8.960784,7.709804,7.358824,9.066667,8.227451,6.731372549,90,510,600
,B,,3.622047,4.7979,4.076115,6.435696,7.209974,4.855643,8.986175,7.83871,7.728111,9.152074,8.119816,6.737327189,381,217,600
,C,,2.87,4.245,4.175,6.065,7.37,4.16,8.625,7.6375,7.685,8.8775,7.9875,6.25,200,400,600
8b100,A,,3.877778,4.9,4.155556,6.044444,7.1,4.911111,8.980392,7.794118,7.447059,9.086275,8.247059,6.752941176,90,510,600
,B,,3.627297,4.627297,3.971129,6.246719,7.107612,4.664042,8.75576,7.718894,7.677419,9.147465,8.133641,6.631336406,381,217,600
,C,,2.875,4.165,4.09,6.23,7.305,4.215,8.87218,7.714286,7.701754,9.075188,7.994987,6.290726817,200,399,600
14b00,A,,4.211111,5.277778,4.255556,6.888889,6.866667,5.133333,8.562992,6.956693,6.21063,8.295276,7.035433,6.198818898,90,508,600
,B,,3.934383,5.034121,3.997375,6.918635,6.834646,4.671916,8.75576,7.082949,6.474654,8.617512,7.023041,6.211981567,381,217,600
,C,,3.135678,4.211055,3.899497,6.688442,6.819095,3.693467,8.125,6.6775,6.1375,8.2075,6.8,5.78,199,400,600
14b10,A,,3.688889,4.788889,4.155556,5.966667,7.122222,4.922222,8.862745,7.643137,7.337255,8.947059,8.217647,6.629411765,90,510,600
,B,,3.709424,4.675393,4.041885,6.376963,7.112565,4.777487,8.894009,7.732719,7.737327,9.069124,8.105991,6.649769585,382,217,600
,C,,3.095477,4.140704,4.246231,6.18593,7.316583,4.256281,8.646617,7.654135,7.714286,8.964912,8.030075,6.280701754,199,399,600
14b30,A,,3.911111,4.944444,4.344444,6.155556,7.066667,4.988889,8.882353,7.743137,7.433333,9.082353,8.256863,6.750980392,90,510,600
,B,,3.766404,4.826772,4.154856,6.406824,7.16273,4.83727,9.262673,8.041475,7.926267,9.354839,8.198157,6.884792627,381,217,600
,C,,3.225,4.21,4.255,6.255,7.345,4.29,8.75,7.715,7.7275,9.0225,8.0125,6.3375,200,400,600
14b60,A,,4.044444,5.355556,4.355556,6.466667,7.2,5.188889,9.058824,7.807843,7.468627,9.12549,8.296078,6.807843137,90,510,600
,B,,3.889764,4.992126,4.215223,6.585302,7.2021,4.939633,9.21659,7.963134,7.898618,9.35023,8.165899,6.820276498,381,217,600
,C,,3.09,4.295,4.28,6.26,7.4,4.265,9.025,7.815,7.7925,9.185,8.01,6.3775,200,400,600
14b100,A,,4.022222,5.255556,4.277778,6.311111,7.333333,5.188889,8.941176,7.768627,7.431373,9.1,8.260784,6.723529412,90,510,600
,B,,3.866492,4.960733,4.191099,6.502618,7.141361,4.848168,9.170507,7.921659,7.769585,9.299539,8.18894,6.815668203,382,217,600
,C,,3.371859,4.276382,4.432161,6.326633,7.38191,4.432161,8.77193,7.659148,7.724311,9,7.977444,6.298245614,199,399,600
